repo_url,schema_name,helm_name,crd_path,crd_last_sha,crd_last_updated
https://github.com/aws-controllers-k8s/cloudwatchlogs-controller,cloudwatchlogs.services.k8s.aws,ack-cloudwatchlogs,config/crd/bases,4a7505256e44b1ce403eed9fbaa449522577dc51,2025-11-12T22:57:51Z
https://github.com/open-cluster-management-io/ocm,cluster.open-cluster-management.io,ocm,manifests/cluster-manager/hub/crds,4a46af2145a8e66f637050255c53f656b11ceeba,2026-03-08T11:01:58Z
https://github.com/redpanda-data/redpanda-operator,cluster.redpanda.com,redpanda,operator/config/crd/bases,5878c01f595980e4244f46ae4af73c630f32d641,2026-03-06T08:03:18Z
https://github.com/kubernetes-sigs/cluster-api,cluster.x-k8s.io,cluster-api,config/crd/bases,079a2037a8c8c347e2f1c5f6d8238cc390900375,2026-03-04T12:14:28Z
https://github.com/kubernetes-sigs/cluster-api,clusterctl.cluster.x-k8s.io,cluster-api,config/crd/bases,079a2037a8c8c347e2f1c5f6d8238cc390900375,2026-03-04T12:14:28Z
https://github.com/zakkg3/ClusterSecret,clustersecret.io,clustersecret,charts/cluster-secret/crds,2bda119ceea7765424b12c1ce49a9127c696101f,2023-09-18T14:26:12Z
https://github.com/grafana/grafana-operator,collectors.grafana.com,grafana,config/crd/bases,cba538d9b66b24f3b41b97e52327e534489ed82b,2026-02-28T07:57:18Z
https://github.com/Azure/azure-service-operator,compute.azure.com,azure-service,v2/config/crd,366a05086001f18a10e6e7453e10d9e4b1af23c1,2023-08-15T03:05:04Z
https://github.com/coreweave/virtual-server,compute.coreweave.com,coreweave-virtual-server,crd,890df5304ed30d161bc934f377829b7504715827,2022-12-19T17:08:07Z
https://github.com/vmware-tanzu/pinniped,config.concierge.pinniped.dev,pinniped,generated/1.35/crds,b2747a0ebe514798388fc68e199a8eb15c5e4b17,2025-12-18T21:20:41Z
https://github.com/open-policy-agent/gatekeeper,config.gatekeeper.sh,gatekeeper,config/crd/bases,3c000d3109d9c340bff8d9a3df64d1dac98117d2,2026-01-30T21:41:04Z
https://github.com/vmware-tanzu/pinniped,config.supervisor.pinniped.dev,pinniped,generated/1.35/crds,b2747a0ebe514798388fc68e199a8eb15c5e4b17,2025-12-18T21:20:41Z
https://github.com/Kong/kubernetes-ingress-controller,configuration.konghq.com,kong,config/crd/incubator,59fadd5e714b70c7a96f06ae61168ed499f69ca2,2025-07-11T14:18:12Z
https://github.com/grafana/crossplane-provider-grafana,connections.grafana.crossplane.io,provider-grafana,package/crds,a06c471ef349203a445ddbc9054256d7040bc223,2026-02-27T21:43:26Z
https://github.com/Azure/azure-service-operator,containerinstance.azure.com,azure-service,v2/config/crd,366a05086001f18a10e6e7453e10d9e4b1af23c1,2023-08-15T03:05:04Z
https://github.com/Azure/azure-service-operator,containerregistry.azure.com,azure-service,v2/config/crd,366a05086001f18a10e6e7453e10d9e4b1af23c1,2023-08-15T03:05:04Z
https://github.com/Azure/azure-service-operator,containerservice.azure.com,azure-service,v2/config/crd,366a05086001f18a10e6e7453e10d9e4b1af23c1,2023-08-15T03:05:04Z
https://github.com/kubernetes-sigs/cluster-api,controlplane.cluster.x-k8s.io,cluster-api,config/crd/bases,079a2037a8c8c347e2f1c5f6d8238cc390900375,2026-03-04T12:14:28Z
https://github.com/open-feature/open-feature-operator,core.openfeature.dev,open-feature,config/crd/bases,0aa61ec1419ec1d99f3c875dd6526ec8ca8e6014,2025-01-13T16:33:42Z
https://github.com/strimzi/strimzi-kafka-operator,core.strimzi.io,strimzi-kafka,packaging/helm-charts/helm3/strimzi-kafka-operator/crds,4727e356653edffb9c407b10cee7b1b59c2b44a1,2026-02-27T19:10:52Z
https://github.com/coroot/coroot-operator,coroot.com,coroot,config/crd,6b6cd3d675ff03300b5bca7e0be8667931d11faf,2026-03-06T17:47:39Z
https://github.com/aws/amazon-vpc-cni-k8s,crd.k8s.amazonaws.com,aws-vpc-cni,charts/aws-vpc-cni/crds,f3a6226a2e3d39a87272a30bb5e9f252b95e7b75,2025-12-15T21:27:18Z
